,Estado_de_Ocorrencia,Espécies ameaçadas,Fauna espécies ameaçadas,Flora espécies ameaçadas,Angiospermas espécies ameaçadas,Anfíbios espécies ameaçadas,Aves espécies ameaçadas,Briófitas espécies ameaçadas,Gimnospermas espécies ameaçadas,Invertebrados aquaticos espécies ameaçadas,Invertebrados terrestres espécies ameaçadas,Mamiferos espécies ameaçadas,Peixes continentais espécies ameaçadas,Peixes marinhos espécies ameaçadas,Pteridofitas espécies ameaçadas,Repteis espécies ameaçadas
0,AC,42,21,21,21,0.0,5,0.0,0.0,0.0,0.0,15,1.0,0.0,0.0,0.0
1,AL,157,127,30,29,5.0,47,0.0,0.0,12.0,6.0,12,2.0,36.0,1.0,7.0
2,AM,96,51,45,44,0.0,21,0.0,0.0,0.0,0.0,22,8.0,0.0,1.0,0.0
3,AP,81,65,16,16,0.0,11,0.0,0.0,6.0,0.0,15,2.0,30.0,0.0,1.0
4,BA,713,303,410,398,2.0,89,1.0,0.0,17.0,45.0,44,33.0,42.0,11.0,31.0
5,CE,126,99,27,26,1.0,24,0.0,0.0,11.0,3.0,16,3.0,38.0,1.0,3.0
6,DF,98,50,48,45,1.0,14,0.0,1.0,0.0,5.0,26,4.0,0.0,2.0,0.0
7,ES,649,216,433,403,3.0,64,4.0,0.0,16.0,37.0,31,11.0,46.0,26.0,8.0
8,GO,224,106,118,112,1.0,24,0.0,2.0,1.0,8.0,28,43.0,0.0,4.0,1.0
9,MA,139,116,23,23,0.0,37,0.0,0.0,8.0,2.0,26,2.0,38.0,0.0,3.0
10,MG,965,234,731,682,9.0,67,5.0,1.0,1.0,65.0,43,43.0,0.0,43.0,6.0
11,MS,114,65,49,47,0.0,23,0.0,0.0,0.0,4.0,22,13.0,0.0,2.0,3.0
12,MT,156,91,65,60,1.0,41,0.0,1.0,0.0,4.0,28,12.0,0.0,4.0,5.0
13,PA,241,190,51,49,1.0,63,0.0,0.0,5.0,10.0,28,47.0,32.0,2.0,4.0
14,PB,129,110,19,19,1.0,37,0.0,0.0,12.0,8.0,12,1.0,36.0,0.0,3.0
15,PE,217,157,60,56,3.0,57,1.0,0.0,13.0,11.0,18,3.0,46.0,3.0,6.0
16,PI,107,82,25,24,0.0,16,1.0,0.0,8.0,0.0,22,0.0,35.0,0.0,1.0
17,PR,453,172,281,267,2.0,43,1.0,1.0,9.0,17.0,26,27.0,44.0,12.0,4.0
18,RJ,713,246,467,410,9.0,55,14.0,1.0,18.0,48.0,26,30.0,53.0,42.0,7.0
19,RN,106,96,10,10,0.0,23,0.0,0.0,12.0,6.0,13,0.0,38.0,0.0,4.0
20,RO,59,42,17,17,0.0,13,0.0,0.0,0.0,0.0,24,1.0,0.0,0.0,4.0
21,RR,34,26,8,8,0.0,9,0.0,0.0,0.0,0.0,13,4.0,0.0,0.0,0.0
22,RS,430,185,245,233,6.0,40,2.0,2.0,24.0,7.0,19,36.0,44.0,8.0,9.0
23,SC,410,165,245,234,6.0,38,1.0,1.0,18.0,14.0,18,17.0,49.0,9.0,5.0
24,SE,123,98,25,25,0.0,26,0.0,0.0,10.0,5.0,14,1.0,37.0,0.0,5.0
25,SP,723,285,438,400,8.0,48,5.0,1.0,27.0,58.0,30,47.0,55.0,32.0,12.0
26,TO,102,75,27,27,0.0,26,0.0,0.0,0.0,2.0,24,22.0,0.0,0.0,1.0
